"SNP1" "SNP2" "SNP3" "SNP4" "SNP5" "SNP6" "SNP7" "SNP8" "SNP9" "SNP10" "SNP11" "SNP12" "SNP13" "SNP14" "SNP15" "SNP16" "SNP17" "SNP18" "SNP19" "SNP20" "SNP21" "SNP22" "SNP23" "SNP24" "SNP25" "SNP26" "SNP27" "SNP28" "SNP29" "SNP30" "SNP31" "SNP32" "SNP33" "SNP34" "SNP35" "SNP36" "SNP37" "SNP38"
"1" 6 7 6 4 8 10 3 7 17 3 0 9 10 12 17 7 10 8 7 11 4 1 3 8 2 5 1 1 8 17 14 9 4 12 9 12 3 1
"2" 11 5 2 15 20 8 7 12 6 8 2 7 9 17 17 7 5 9 12 27 5 1 4 5 4 7 1 2 5 29 25 34 11 8 15 21 2 4
"3" 3 8 5 12 1 7 3 8 22 9 1 9 13 23 18 7 12 14 14 11 1 0 3 5 6 3 2 4 12 23 4 8 8 11 15 11 3 3
"4" 7 10 9 9 14 8 10 20 11 11 2 16 14 32 24 8 13 12 27 16 8 6 2 9 7 14 2 2 9 28 21 8 5 12 23 16 6 6
"5" 4 5 7 7 7 8 4 9 11 16 1 7 5 26 21 10 7 9 22 19 4 3 2 9 3 7 4 2 12 16 26 10 2 8 21 12 3 1
"6" 5 7 4 0 0 5 2 12 15 14 3 12 9 12 6 11 10 1 12 23 0 0 3 5 6 14 2 2 9 12 13 8 8 6 11 13 3 1
"7" 7 6 3 20 14 8 10 12 11 9 2 7 7 17 17 9 11 5 16 15 1 1 4 9 1 9 4 2 9 15 19 6 6 18 11 19 3 3
"8" 3 2 7 20 7 11 5 20 9 2 2 8 7 12 16 4 17 6 16 13 4 2 1 2 4 9 0 1 6 23 21 11 10 12 16 8 4 1
"9" 7 7 9 9 9 6 7 21 14 16 1 17 9 32 18 14 15 9 20 14 3 3 6 5 4 17 2 6 15 18 22 17 8 26 25 8 3 4
"10" 1 7 2 25 18 8 11 17 20 6 4 10 10 20 25 5 9 6 14 10 6 0 3 10 6 15 1 5 14 17 9 11 3 14 14 14 5 2
"11" 2 7 4 15 15 4 2 16 16 8 2 4 4 6 11 12 11 5 7 11 5 1 1 5 4 2 5 0 10 12 9 8 5 8 9 3 2 3
"12" 7 2 5 14 18 10 8 14 12 13 2 6 6 16 10 3 5 2 13 10 1 1 1 8 8 7 2 1 7 18 12 12 8 8 5 6 3 1
"13" 7 0 6 10 10 7 11 11 4 8 1 11 7 13 11 9 8 2 18 9 3 1 3 1 2 5 1 0 8 20 15 7 5 9 17 8 2 1
"14" 5 5 7 14 6 2 5 9 13 7 5 7 7 19 16 12 3 8 8 14 4 1 0 5 3 11 1 5 8 27 16 9 4 5 12 10 4 0
"15" 7 5 7 0 0 8 2 11 14 11 2 13 9 24 17 12 15 14 21 13 2 2 1 13 7 12 0 7 8 29 21 24 6 11 25 12 2 2
"16" 7 5 15 27 21 10 9 15 11 4 6 22 8 38 17 7 7 7 17 15 5 1 1 3 6 17 3 2 9 12 19 11 13 19 12 16 2 4
"17" 3 7 4 15 5 18 8 15 13 7 3 11 8 7 16 7 11 5 9 14 2 4 0 4 2 12 3 5 3 17 15 11 5 8 7 8 1 3
"18" 1 5 10 9 10 2 6 11 12 3 0 9 7 10 9 2 9 2 15 4 1 3 3 3 5 7 2 0 5 19 19 13 2 6 7 10 2 0
"19" 4 6 6 10 11 5 4 17 18 13 2 7 14 18 22 10 7 3 13 24 5 3 0 3 7 11 3 2 1 19 20 14 6 12 15 18 6 1
"20" 2 4 1 6 6 1 6 7 3 5 0 8 7 20 12 8 3 3 11 9 7 2 2 3 3 10 3 1 3 9 14 5 5 1 8 16 0 2
"21" 5 3 5 20 12 8 5 11 12 10 3 7 9 17 27 9 8 10 17 16 2 2 2 5 3 6 2 2 15 21 30 11 3 13 16 12 5 3
"22" 7 4 2 15 14 6 3 7 17 4 2 5 4 17 15 4 13 4 16 10 0 2 1 7 3 7 1 2 9 22 7 8 4 5 8 7 1 2
"23" 9 8 6 20 33 9 9 13 18 18 1 14 14 16 21 14 16 3 16 11 4 1 2 7 4 7 2 5 6 17 17 22 3 9 15 11 1 6
"24" 6 2 1 24 11 9 3 12 11 7 1 7 6 19 16 8 10 2 7 11 4 1 3 7 3 13 3 3 7 24 15 11 4 8 20 7 2 0
"25" 6 9 7 15 18 3 3 11 18 5 0 21 17 20 5 3 11 12 8 14 2 1 2 10 7 2 3 0 6 14 18 12 5 5 7 12 1 3
